"Name","State","Notes","User","Tags","Created","Runtime","Sweep","Alpha_layer0","Alpha_layer1","Alpha_layer2","Alpha_layer3","Batch_size","Beta_layer0","Beta_layer1","Beta_layer2","Beta_layer3","Gamma_layer0","Gamma_layer1","Gamma_layer2","Gamma_layer3","Model_Name","architecture","dataset","epochs","learning_rate","momentum","noise_param","noise_type","timesteps","Accuracy","Time Taken to Run the Code(Mins)","Timestep","chance_level"
"Gamma_layer_3_perturbation_0.13_sp_0.04","finished","-","","","2025-07-04T14:53:12.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.13","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.04","s&p","10","40.36","0.2715605894724528","10","10"
"Beta_layer2_perturbation_0.43_sp_0.00","finished","-","","","2025-07-04T15:44:22.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.43","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","s&p","10","67.79","0.27085195382436117","10","10"
"Beta_layer2_perturbation_0.53_gauss_0.00","finished","-","","","2025-07-04T15:51:07.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.13","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","gauss","10","65.27","0.27447251478830975","10","10"
"Beta_layer2_perturbation_0.53_gauss_0.40","finished","-","","","2025-07-04T15:56:19.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.43","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.4","gauss","10","54.41","0.2708112676938375","10","10"
"Beta_layer1_perturbation_0.53_sp_0.06","finished","-","","","2025-07-04T15:32:45.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.53","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.06","s&p","10","33.97","0.27290841738382976","10","10"
"Gamma_layer_0_perturbation_0.53_gauss_0.80","finished","-","","","2025-07-04T14:12:43.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.53","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.8","gauss","10","32.4","0.27265020211537677","10","10"
"Gamma_layer_1_perturbation_0.23_sp_0.04","finished","-","","","2025-07-04T14:17:36.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.23","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.04","s&p","10","43.07","0.2824039300282796","10","10"
"Gamma_layer_2_perturbation_0.33_sp_0.06","finished","-","","","2025-07-04T14:38:00.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.06","s&p","10","35.04","0.26913700103759763","10","10"
"Beta_layer2_perturbation_0.53_gauss_0.80","finished","-","","","2025-07-04T15:59:30.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.23","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.8","gauss","10","33.53","0.27384397983551023","10","10"
"Beta_layer0_perturbation_0.33_sp_0.00","finished","-","","","2025-07-04T15:08:01.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","s&p","10","68.49","0.2722875714302063","10","10"
